"t","a","v","w","sv","sw","wienr","err"
2.07034289019648,1,0,0.3,0.5,0.05,7.59016009806897e-05,1.00000013552527e-13
2.21617367009167,1,-1,0.3,1,0.2,1.96471670406323e-05,1e-13
0.998929622350261,0.6,0,0.5,1,0.05,7.12762246612711e-06,1.00000000847033e-13
2.44088096303167,1.5,-1,0.5,1,0.2,0.00332273029097029,1e-13
1.20002163037425,0.6,0,0.7,0.5,0.2,4.44564146507622e-07,1.00000000211758e-13
1.80844120646361,2.5,1.5,0.3,1,0.05,0.0215351964975245,1e-13
1.05167404722888,1,-1,0.7,0.5,0.2,0.0148579260990338,1e-13
2.16825936060632,2.5,1.5,0.5,2,0.2,0.0255127118412575,1.00003469446952e-13
2.84439118417213,0.6,-0.2,0.3,2,0.05,2.34597922934085e-17,1e-13
0.290222511265893,1,-1,0.7,2,0.4,0.744120560187587,1.00111022302463e-13
0.744540985766798,1,-0.2,0.3,0.5,0.05,0.0620350725769549,1.00006938893904e-13
1.11951464506565,1,-3,0.7,0.5,0.4,0.000850864948685529,1e-13
1.00946045524906,1,-3,0.7,1,0.2,0.00402378234487913,1e-13
1.27875346525107,0.6,0,0.5,2,0.4,8.30730147414714e-08,1e-13
