"t","a","v","w","sv","sw","st0","wienr","rtd3"
2.7711886840174,1,4,0.3,1,0.2,0.25,3.59271486979659e-08,3.59390668290004e-08
0.939836427813862,2.5,0,0.5,2,0.05,0.1,0.405261397606279,0.405278884929624
2.12334969755029,1.5,-0.2,0.7,1,0.05,0.1,0.018052241701477,0.0180535408393309
1.6180162057397,1,0.5,0.7,2,0.05,0.25,0.00343375172294996,0.00343392861892148
2.23082657877821,0.6,-3,0.3,0.5,0.4,0.1,1.84442865587779e-13,1.84426885814543e-13
1.58907081543002,1,1.5,0.5,1,0.05,0.1,0.00190370745835959,0.00190378644639693
2.94561661488842,2.5,0,0.7,2,0.2,0.1,0.0259321966293007,0.025940738421483
1.2961476900382,2.5,-3,0.3,2,0.2,0.25,0.115931098967362,0.11590768104559
1.28017288912088,1.5,-0.2,0.7,2,0.4,0.25,0.132332494838448,0.132380082069791
1.80603764917469,2.5,4,0.7,0.5,0.4,0.25,3.42755179212262e-07,3.60202278823008e-07
1.34612737240968,1,4,0.5,1,0.4,0.1,0.000114756791241777,0.000114774689734603
1.00721868351102,1.5,0.5,0.7,2,0.05,0.1,0.211711426512201,0.21172594160696
2.79920702272793,0.6,0,0.5,0.5,0.2,0.25,7.91508204410624e-14,7.91606859934156e-14
1.93856551260687,0.6,1.5,0.5,2,0.2,0.25,3.80406285258406e-09,3.80450544731206e-09
0.64115879010642,1,-1,0.7,2,0.2,0.25,1.35437765887647,1.35477219474513
0.673290920373984,1,0,0.5,1,0.05,0.25,0.980698683266667,0.980742993413445
2.04287234159419,2.5,4,0.3,2,0.2,0.1,0.00541581105802306,0.00541711895627146
1.93705623097485,1.5,-0.2,0.7,1,0.4,0.25,0.0324363565756656,0.0324466776048511
1.7881396863726,1,1.5,0.3,0.5,0.2,0.1,0.000393701474452259,0.000393831713269725
1.29172890187474,1.5,4,0.7,2,0.4,0.1,0.00838703006449184,0.00838887523128141
2.35536535003921,0.6,-3,0.3,1,0.05,0.1,3.05261447574126e-13,3.0523172263573e-13
2.89164729535114,1.5,4,0.7,2,0.2,0.1,0.000171381602648553,0.000171422181715433
2.84903067672858,1,0,0.3,0.5,0.2,0.25,1.35325580161201e-05,1.35356856210555e-05
1.13845717763761,1,1.5,0.7,2,0.2,0.1,0.0201403754255798,0.0201453787009843
2.13594004518818,1,-1,0.3,1,0.4,0.1,0.000179280789034522,0.000179311676201272
2.80131443566643,2.5,4,0.3,2,0.2,0.25,0.00262299880261077,0.00262360531121157
2.0954072200926,1.5,0,0.3,1,0.4,0.25,0.0177249456935318,0.0177285787055806
0.936577064415906,2.5,0,0.3,1,0.2,0.25,0.456443391353594,0.456661865449957
2.62930864288937,1,-0.2,0.5,1,0.2,0.1,2.37635638001148e-05,2.37690544855912e-05
0.719119452708401,1,-0.2,0.7,0.5,0.2,0.1,0.461078745241936,0.461201945538841
2.97022222474916,0.6,-1,0.7,1,0.4,0.25,3.14139978343051e-15,3.14178897603078e-15
1.26257294795942,0.6,-3,0.5,0.5,0.4,0.25,1.43434920710487e-05,1.43437206289313e-05
2.26535523036728,1,0.5,0.3,0.5,0.4,0.25,0.000184268009290333,0.000184317868877891
1.12406343902694,0.6,1.5,0.7,1,0.2,0.1,6.31653705013281e-05,6.31698416902465e-05
0.82661200305447,0.6,4,0.3,0.5,0.05,0.1,0.000199518223687269,0.000199483552750186
0.6612455418217,0.6,1.5,0.7,0.5,0.4,0.1,0.0412313179275651,0.0412317035910692
1.64115715795197,0.6,-1,0.7,2,0.2,0.25,2.73071949570389e-07,2.73113140708691e-07
0.463636201189365,0.6,0.5,0.7,1,0.4,0.1,1.21195726179873,1.21215755105848
3.1780970741529,0.6,1.5,0.7,0.5,0.05,0.25,3.96225123046084e-17,3.96191140060483e-17
1.84783929713303,0.6,-3,0.5,1,0.4,0.25,3.16352685575766e-09,3.16382241823847e-09
1.41880647620419,1,0,0.3,0.5,0.4,0.25,0.0170497848176382,0.0170536939253485
2.94446092864964,2.5,0.5,0.7,0.5,0.4,0.25,0.0249953907632379,0.0250009431954612
2.57570152017288,1,1.5,0.3,1,0.05,0.25,1.53695799870553e-05,1.53704261264167e-05
2.5905522972811,1.5,0,0.5,1,0.2,0.1,0.00613251774109619,0.00613394880540442
2.9743213877664,0.6,0,0.7,1,0.4,0.1,9.14493472106644e-16,9.14616929763663e-16
0.882033032423351,2.5,-3,0.5,1,0.05,0.1,0.971598598230785,0.971603672048288
2.67014113531914,1.5,0.5,0.5,1,0.4,0.1,0.00396424103231781,0.00396519274837056
1.96475536420476,1.5,-1,0.7,0.5,0.4,0.1,0.033011489960381,0.0330240118554422
1.81746519686421,2.5,0,0.5,0.5,0.2,0.25,0.1644831753839,0.164521357768291
0.670903874840587,1.5,-1,0.3,2,0.4,0.25,1.07881174986135,1.07908769844144
2.08086423644563,1,-0.2,0.7,1,0.05,0.25,0.000538703855127554,0.000538732677276861
2.99710155463545,1,1.5,0.3,1,0.4,0.1,1.04827919529472e-06,1.04856441433882e-06
0.903667321964167,1.5,1.5,0.5,2,0.4,0.1,0.182155170319932,0.182190336177914
1.91341977114789,1,-0.2,0.3,1,0.2,0.1,0.000726318009300038,0.000726467338335159
2.32633667637128,0.6,0.5,0.7,2,0.4,0.25,1.69599792564981e-11,1.6961787640963e-11
2.65963250623317,0.6,0,0.7,0.5,0.2,0.1,1.07841851668828e-13,1.07856255134769e-13
0.903726126661059,0.6,0.5,0.7,1,0.2,0.25,0.0114270908142965,0.0114284260783952
2.02088253553957,2.5,1.5,0.5,2,0.05,0.25,0.0489059517530066,0.0489077313358303
0.929978250176646,2.5,0,0.5,0.5,0.4,0.1,0.31084736995324,0.310910737570969
1.2568580572959,1.5,-0.2,0.7,2,0.4,0.1,0.110408492738622,0.110447849149678
0.825210910663009,0.6,-3,0.3,1,0.2,0.25,0.0195261414751038,0.0195229988931279
0.640042407508008,1.5,4,0.7,0.5,0.4,0.1,0.00155047917563607,0.00154796720788913
1.10980997930746,2.5,-1,0.5,1,0.4,0.25,0.558946213773483,0.559070791569193
1.35775537670124,2.5,1.5,0.7,1,0.05,0.1,0.0335390371474529,0.0335392532309301
2.86943667513551,2.5,-3,0.3,2,0.05,0.25,0.00896140598386716,0.00896136998678185
0.715593845490366,1.5,0.5,0.7,0.5,0.4,0.1,0.256735976416864,0.256745070048197
