"set","method","us_per_trial","n","n_acc","rel_diff"
22,"rtdists precision=5",1427.8742,100,100,6.8786136234178e-05
22,"rtdists precision=8",728705.00562,25,50,1.44474021968044e-07
22,"WienR 5e-3 (EMC2 default)",12.626524,1000,1000,0.028336847012812
22,"WienR 1e-4",44.8104785,1000,1000,0.00968951206988478
22,"WienR 1e-8",657.602362,1000,1000,1.4604885523184e-08
22,"WienR 1e-12",1244.551925,200,200,1.3704324342001e-09
22,"WienR 1e-12 + 5 grads",9196.363755,200,200,1.3704324342001e-09
23,"ours 1e-12 (density + 7 grads)",10.6713775,1000,1000,0
23,"rtdists precision=3",35.629246,1000,1000,0.00993900067066777
23,"rtdists precision=5",3316.5187,100,100,0.000159513396561395
23,"rtdists precision=8",997314.97878,25,50,5.2804788430727e-08
23,"WienR 5e-3 (EMC2 default)",13.0846375,1000,1000,0.0228200204094223
23,"WienR 1e-4",45.343007,1000,1000,0.0228168528517594
23,"WienR 1e-8",678.381613,1000,1000,4.62258702427221e-08
23,"WienR 1e-12",1277.534375,200,200,5.25957077890382e-09
23,"WienR 1e-12 + 5 grads",9439.013645,200,200,5.25957077890382e-09
24,"ours 1e-12 (density + 7 grads)",10.8109825,1000,1000,0
24,"rtdists precision=3",6.8957285,1000,1000,0.00514457191660089
24,"rtdists precision=5",117.95536,100,100,7.96731909620263e-05
24,"rtdists precision=8",59221.25362,25,50,7.42217194371619e-08
24,"WienR 5e-3 (EMC2 default)",4.5961205,1000,1000,0.000826192839230355
24,"WienR 1e-4",4.6553655,1000,1000,0.000407335978706125
24,"WienR 1e-8",8.421031,1000,1000,1.17782755104656e-07
24,"WienR 1e-12",118.612795,200,200,2.43138842392909e-14
24,"WienR 1e-12 + 5 grads",1419.7726,200,200,2.43138842392909e-14
25,"ours 1e-12 (density + 7 grads)",12.8550785,1000,1000,0
25,"rtdists precision=3",325.737292,1000,1000,0.030209221258156
25,"rtdists precision=5",20843.40165,100,100,0.000191097693285069
25,"rtdists precision=8",9976571.68224,25,50,1.55911967336664e-07
25,"WienR 5e-3 (EMC2 default)",48.4657105,1000,1000,0.187973555707996
25,"WienR 1e-4",228.854743,1000,1000,0.119803009073038
25,"WienR 1e-8",1159.08968,1000,1000,8.0164768340385e-05
25,"WienR 1e-12",1257.04729,200,200,8.01647683397189e-05
25,"WienR 1e-12 + 5 grads",9007.16372,200,200,8.01647683397189e-05
26,"ours 1e-12 (density + 7 grads)",9.719747,1000,1000,0
26,"rtdists precision=3",59.043485,1000,1000,0.0135220054094363
26,"rtdists precision=5",3624.27946,100,100,8.00244169886222e-05
26,"rtdists precision=8",1756579.71898,25,50,1.73723728291719e-07
26,"WienR 5e-3 (EMC2 default)",29.0472905,1000,1000,0.208863156447038
26,"WienR 1e-4",107.956772,1000,1000,0.0159765921382365
26,"WienR 1e-8",720.2726865,1000,1000,1.03021498110145e-06
26,"WienR 1e-12",1171.461635,200,200,1.03021498110145e-06
26,"WienR 1e-12 + 5 grads",8686.33093,200,200,1.03021498110145e-06
27,"ours 1e-12 (density + 7 grads)",11.804884,1000,1000,0
27,"rtdists precision=3",13.28277,1000,1000,0.0329423279902502
27,"rtdists precision=5",880.91411,100,100,3.03867151207893e-05
27,"rtdists precision=8",432079.90466,25,50,6.46771811663172e-08
27,"WienR 5e-3 (EMC2 default)",4.959606,1000,1000,0.00811425811827649
27,"WienR 1e-4",8.7323645,1000,1000,0.000601266338324802
27,"WienR 1e-8",129.3142255,1000,1000,4.55131892174165e-08
27,"WienR 1e-12",920.78128,200,200,2.82489587277723e-11
27,"WienR 1e-12 + 5 grads",7604.870035,200,200,2.82489587277723e-11
28,"ours 1e-12 (density + 7 grads)",10.9510385,1000,1000,0
28,"rtdists precision=3",58.7951685,1000,1000,0.02730102108573
28,"rtdists precision=5",3615.90193,100,100,4.31731012573433e-05
28,"rtdists precision=8",1635167.71458,25,50,8.0869625773694e-08
28,"WienR 5e-3 (EMC2 default)",7.962405,1000,1000,0.0556166650276437
28,"WienR 1e-4",23.5970785,1000,1000,0.00168723035103424
28,"WienR 1e-8",383.152872,1000,1000,3.02228796544846e-07
28,"WienR 1e-12",1119.727835,200,200,3.70935726579091e-09
28,"WienR 1e-12 + 5 grads",8887.97426,200,200,3.70935726579091e-09
29,"ours 1e-12 (density + 7 grads)",9.4522425,1000,1000,0
29,"rtdists precision=3",26.0567095,1000,1000,0.0148891269140837
29,"rtdists precision=5",1682.55226,100,100,8.45699299302227e-05
29,"rtdists precision=8",834844.18366,25,50,1.75298769722332e-07
29,"WienR 5e-3 (EMC2 default)",7.8090855,1000,1000,0.0104518251199794
29,"WienR 1e-4",22.2113195,1000,1000,0.000690033410400082
29,"WienR 1e-8",363.800585,1000,1000,2.88249101254578e-08
29,"WienR 1e-12",1039.371525,200,200,1.05205300027222e-09
29,"WienR 1e-12 + 5 grads",7859.21046,200,200,1.05205300027222e-09
30,"ours 1e-12 (density + 7 grads)",9.015449,1000,1000,0
30,"rtdists precision=3",8.347395,1000,1000,0.635610785727594
30,"rtdists precision=5",536.45753,100,100,0.000598427368724952
30,"rtdists precision=8",265774.12206,25,50,9.59040856729487e-08
30,"WienR 5e-3 (EMC2 default)",5.8795025,1000,1000,0.376786937853465
30,"WienR 1e-4",12.192293,1000,1000,0.376786937853465
30,"WienR 1e-8",202.1538415,1000,1000,6.98849369529242e-06
30,"WienR 1e-12",917.02281,200,200,1.42805323122275e-10
30,"WienR 1e-12 + 5 grads",7044.051125,200,200,1.42805323122275e-10
31,"ours 1e-12 (density + 7 grads)",10.64975,1000,1000,0
31,"rtdists precision=3",36.9463915,1000,1000,0.0152742106223801
31,"rtdists precision=5",2190.22697,100,100,1.73413550085266e-05
31,"rtdists precision=8",1056729.73108,25,50,3.72975459406177e-08
31,"WienR 5e-3 (EMC2 default)",17.41557,1000,1000,0.0330953847910895
31,"WienR 1e-4",71.6973355,1000,1000,0.0328958979081508
31,"WienR 1e-8",865.240179,1000,1000,1.20187212404588e-08
31,"WienR 1e-12",1321.02287,200,200,2.9025533088145e-09
31,"WienR 1e-12 + 5 grads",10010.242455,200,200,2.9025533088145e-09
32,"ours 1e-12 (density + 7 grads)",10.616458,1000,1000,0
32,"rtdists precision=3",28.2544735,1000,1000,0.00876453250949782
32,"rtdists precision=5",1759.21775,100,100,3.58974419240043e-05
32,"rtdists precision=8",835272.0531,25,50,7.72488870648402e-08
32,"WienR 5e-3 (EMC2 default)",5.1770495,1000,1000,0.0221981651471823
32,"WienR 1e-4",10.489932,1000,1000,0.000505286463695187
32,"WienR 1e-8",169.0699575,1000,1000,4.85144135975446e-09
32,"WienR 1e-12",900.06316,200,200,2.33177677166907e-09
32,"WienR 1e-12 + 5 grads",7236.93747,200,200,2.33177677166907e-09
33,"ours 1e-12 (density + 7 grads)",10.5082795,1000,1000,0
33,"rtdists precision=3",4.9477365,1000,1000,0.0918362438182707
33,"rtdists precision=5",215.50666,100,100,3.54776736468665e-05
33,"rtdists precision=8",104721.61042,25,50,7.16921330079501e-08
