set,method,us_per_trial,rel_diff
83,hddm-wfpt err=1e-8,886.4457,1.160e-06
83,hddm-wfpt err=1e-4,830.2459,1.160e-06
84,ours 1e-12 (density + 7 grads),9.9511,0.000e+00
84,ours 1e-8,8.9767,1.321e-11
84,hddm-wfpt err=1e-8,281.6238,7.856e-08
84,hddm-wfpt err=1e-4,266.8090,7.856e-08
85,ours 1e-12 (density + 7 grads),11.0499,0.000e+00
85,ours 1e-8,9.7686,1.290e-11
85,hddm-wfpt err=1e-8,3153.4482,6.361e-07
85,hddm-wfpt err=1e-4,2988.2565,6.373e-07
86,ours 1e-12 (density + 7 grads),8.6674,0.000e+00
86,ours 1e-8,7.9418,3.797e-14
86,hddm-wfpt err=1e-8,448.3685,2.421e-07
86,hddm-wfpt err=1e-4,426.4939,2.421e-07
87,ours 1e-12 (density + 7 grads),10.0591,0.000e+00
87,ours 1e-8,9.0895,8.194e-12
87,hddm-wfpt err=1e-8,1293.8812,3.140e-07
87,hddm-wfpt err=1e-4,1236.9225,3.140e-07
88,ours 1e-12 (density + 7 grads),10.8942,0.000e+00
88,ours 1e-8,9.7136,4.031e-11
88,hddm-wfpt err=1e-8,211.2442,8.770e-07
88,hddm-wfpt err=1e-4,202.1650,8.770e-07
89,ours 1e-12 (density + 7 grads),10.3982,0.000e+00
89,ours 1e-8,9.3746,1.042e-11
89,hddm-wfpt err=1e-8,3224.1959,1.064e-07
89,hddm-wfpt err=1e-4,3068.1704,1.070e-07
90,ours 1e-12 (density + 7 grads),9.1826,0.000e+00
90,ours 1e-8,8.4508,9.504e-14
90,hddm-wfpt err=1e-8,3024.9530,3.191e-07
90,hddm-wfpt err=1e-4,2921.4800,3.176e-07
91,ours 1e-12 (density + 7 grads),9.9742,0.000e+00
91,ours 1e-8,9.0370,1.299e-12
91,hddm-wfpt err=1e-8,664.0752,1.942e-07
91,hddm-wfpt err=1e-4,630.7420,1.942e-07
92,ours 1e-12 (density + 7 grads),10.7374,0.000e+00
92,ours 1e-8,9.7051,9.638e-12
92,hddm-wfpt err=1e-8,307.3109,2.498e-06
92,hddm-wfpt err=1e-4,289.6118,2.498e-06
93,ours 1e-12 (density + 7 grads),10.1572,0.000e+00
93,ours 1e-8,9.0936,5.729e-14
93,hddm-wfpt err=1e-8,53.3438,1.490e-06
93,hddm-wfpt err=1e-4,49.8337,1.490e-06
94,ours 1e-12 (density + 7 grads),10.3049,0.000e+00
94,ours 1e-8,9.2756,2.936e-11
94,hddm-wfpt err=1e-8,1040.2405,3.277e-07
94,hddm-wfpt err=1e-4,972.2895,3.277e-07
95,ours 1e-12 (density + 7 grads),11.0390,0.000e+00
95,ours 1e-8,9.8285,2.814e-11
95,hddm-wfpt err=1e-8,204.0647,2.169e-08
95,hddm-wfpt err=1e-4,191.3338,8.188e-08
96,ours 1e-12 (density + 7 grads),11.8730,0.000e+00
96,ours 1e-8,10.5155,1.625e-11
96,hddm-wfpt err=1e-8,743.6064,8.902e-08
96,hddm-wfpt err=1e-4,705.2691,8.733e-08
97,ours 1e-12 (density + 7 grads),10.8653,0.000e+00
97,ours 1e-8,9.6868,1.399e-11
97,hddm-wfpt err=1e-8,428.5133,4.539e-06
97,hddm-wfpt err=1e-4,407.5871,4.539e-06
98,ours 1e-12 (density + 7 grads),10.1328,0.000e+00
98,ours 1e-8,9.2537,2.664e-12
98,hddm-wfpt err=1e-8,1854.6191,4.147e-07
98,hddm-wfpt err=1e-4,1769.8813,4.147e-07
99,ours 1e-12 (density + 7 grads),10.6954,0.000e+00
99,ours 1e-8,9.6052,1.118e-11
99,hddm-wfpt err=1e-8,399.0030,1.065e-06
99,hddm-wfpt err=1e-4,382.0171,1.065e-06
100,ours 1e-12 (density + 7 grads),9.3990,0.000e+00
100,ours 1e-8,8.5013,4.292e-12
100,hddm-wfpt err=1e-8,73.7953,1.478e-07
100,hddm-wfpt err=1e-4,70.8903,1.478e-07
